City,Mean High Jan,Mean High Feb,Mean High Mar,Mean High Apr,Mean High May,Mean High Jun,Mean High Jul,Mean High Aug,Mean High Sep,Mean High Oct,Mean High Nov,Mean High Dec,Mean Low Jan,Mean Low Feb,Mean Low Mar,Mean Low Apr,Mean Low May,Mean Low Jun,Mean Low Jul,Mean Low Aug,Mean Low Sep,Mean Low Oct,Mean Low Nov,Mean Low Dec,Average
San Francisco,19.6,22.5,24.3,27.9,28.2,30,28.4,29.7,32,31.2,24.5,19.1,4.6,5.4,6.4,7.3,8.7,10.1,10.8,11.4,11.1,9.8,6.8,4.5,17.3
Sacramento,17.8,21.4,24.9,30.7,35.4,39.1,40.6,39.8,37.8,33.1,24.5,18.1,-1.6,-0.3,1.7,3.3,6.1,9.3,11.7,11.7,9.6,5.4,0.3,-1.9,17.4
Manchester,7.3,7.6,10,12.6,16.1,18.6,20.6,20.3,17.6,13.9,10,7.4,1.7,1.6,3.3,4.9,7.7,10.5,12.6,12.4,10.3,7.4,4.2,1.8,10
Paris,7.2,8.3,12.2,15.6,19.6,22.7,25.2,25,21.1,16.3,10.8,7.5,2.7,2.8,5.3,7.3,10.9,13.8,15.8,15.7,12.7,9.6,5.8,3.4,12.4
Port-of-Spain,28,28.9,30.3,31,33.1,31.5,31.3,31.7,32.2,32.2,31.5,31.1,17,19.2,20.7,22,23,23.3,23,23,23.1,22.6,22.3,21,26.4
Sydney,27,26.8,25.7,23.6,20.9,18.2,17.9,19.3,21.6,23.2,24.2,25.7,20,19.9,18.4,15.3,12.3,10,8.9,9.7,12.3,14.6,16.6,18.4,18.8
Johannesburg,30.2,29.1,28,25.5,23,20.4,21.1,24.4,28.4,29.4,29.5,29.8,14.7,14.1,13.1,10.3,7.2,4.1,4.1,6.2,9.3,11.2,12.7,13.9,18.3
Minneapolis,6.2,8.5,18.8,26.7,31.1,34.1,34.9,33.6,31.1,26.2,16.4,7.5,-26.1,-23,-15.8,-5.8,1.6,7.2,11.8,10.4,2.4,-3.7,-13.6,23.3,10.2
Los Angeles,20.1,20.3,21.2,22.6,23.6,25.6,28.4,29.1,28.4,25.8,22.7,19.8,8.8,9.6,10.6,11.9,13.9,15.7,17.6,17.8,17.3,14.8,11.1,8.6,18.6
Miami,24.7,25.6,26.8,28.4,30.6,31.9,32.7,32.8,31.8,30.1,27.6,25.5,15.5,16.8,18.3,20.2,22.7,24.4,25.2,25.2,24.7,23.1,20.1,17.2,25.1
